ProductID,ProductName,Category,SubCategory,UnitCost
P0107,Keyboard 8,Electronics,Keyboard,1382
P0108,Keyboard 9,Electronics,Keyboard,2410
P0109,Keyboard 10,Electronics,Keyboard,1835
P0110,Keyboard 11,Electronics,Keyboard,1021
P0111,Keyboard 12,Electronics,Keyboard,4508
P0112,Keyboard 13,Electronics,Keyboard,1919
P0113,Keyboard 14,Electronics,Keyboard,4834
P0114,Keyboard 15,Electronics,Keyboard,1221
P0115,Keyboard 16,Electronics,Keyboard,2463
P0116,Keyboard 17,Electronics,Keyboard,4538
P0117,Keyboard 18,Electronics,Keyboard,2498
P0118,Keyboard 19,Electronics,Keyboard,4223
P0119,Keyboard 20,Electronics,Keyboard,640
P0120,Keyboard 21,Electronics,Keyboard,1905
P0121,Keyboard 22,Electronics,Keyboard,293
P0122,Keyboard 23,Electronics,Keyboard,183
P0123,Keyboard 24,Electronics,Keyboard,2569
P0124,Keyboard 25,Electronics,Keyboard,977
P0125,Keyboard 26,Electronics,Keyboard,3582
P0126,Keyboard 27,Electronics,Keyboard,711
P0127,Keyboard 28,Electronics,Keyboard,226
P0128,Keyboard 29,Electronics,Keyboard,2691
P0129,Keyboard 30,Electronics,Keyboard,1972
P0130,Keyboard 31,Electronics,Keyboard,483
P0131,Keyboard 32,Electronics,Keyboard,1307
P0132,Keyboard 33,Electronics,Keyboard,926
P0133,Mouse 1,Electronics,Mouse,3117
P0134,Mouse 2,Electronics,Mouse,683
P0135,Mouse 3,Electronics,Mouse,3188
P0136,Mouse 4,Electronics,Mouse,4001
P0137,Mouse 5,Electronics,Mouse,3087
P0138,Mouse 6,Electronics,Mouse,4606
P0139,Mouse 7,Electronics,Mouse,3279
P0140,Mouse 8,Electronics,Mouse,2482
P0141,Mouse 9,Electronics,Mouse,3411
P0142,Mouse 10,Electronics,Mouse,2107
P0143,Mouse 11,Electronics,Mouse,1993
P0144,Mouse 12,Electronics,Mouse,2803
P0145,Mouse 13,Electronics,Mouse,2006
P0146,Mouse 14,Electronics,Mouse,2638
P0147,Mouse 15,Electronics,Mouse,4605
P0148,Mouse 16,Electronics,Mouse,843
P0149,Mouse 17,Electronics,Mouse,865
P0150,Mouse 18,Electronics,Mouse,125
P0151,Mouse 19,Electronics,Mouse,2769
P0152,Mouse 20,Electronics,Mouse,239
P0153,Mouse 21,Electronics,Mouse,1070
P0154,Mouse 22,Electronics,Mouse,2362
P0155,Mouse 23,Electronics,Mouse,4185
P0156,Mouse 24,Electronics,Mouse,3545
P0157,Mouse 25,Electronics,Mouse,2226
P0158,Mouse 26,Electronics,Mouse,1373
P0159,Mouse 27,Electronics,Mouse,4118
P0160,Mouse 28,Electronics,Mouse,4241
P0161,Mouse 29,Electronics,Mouse,4894
P0162,Mouse 30,Electronics,Mouse,3577
P0163,Mouse 31,Electronics,Mouse,1101
P0164,Mouse 32,Electronics,Mouse,2721
P0165,Mouse 33,Electronics,Mouse,3970
P0166,Chair 1,Furniture,Chair,2121
P0167,Chair 2,Furniture,Chair,4620
P0168,Chair 3,Furniture,Chair,2860
P0169,Chair 4,Furniture,Chair,2729
P0170,Chair 5,Furniture,Chair,1010
P0171,Chair 6,Furniture,Chair,1220
P0172,Chair 7,Furniture,Chair,4572
P0173,Chair 8,Furniture,Chair,725
P0174,Chair 9,Furniture,Chair,3778
P0175,Chair 10,Furniture,Chair,4136
P0176,Chair 11,Furniture,Chair,2799
P0177,Chair 12,Furniture,Chair,906
P0178,Chair 13,Furniture,Chair,1197
P0179,Chair 14,Furniture,Chair,2018
P0180,Chair 15,Furniture,Chair,4951
P0181,Chair 16,Furniture,Chair,3148
P0182,Chair 17,Furniture,Chair,4710
P0183,Chair 18,Furniture,Chair,4177
P0184,Chair 19,Furniture,Chair,4250
P0185,Chair 20,Furniture,Chair,906
P0186,Chair 21,Furniture,Chair,2896
P0187,Chair 22,Furniture,Chair,3067
P0188,Chair 23,Furniture,Chair,2226
P0189,Chair 24,Furniture,Chair,1367
P0190,Chair 25,Furniture,Chair,3183
P0191,Chair 26,Furniture,Chair,473
P0192,Chair 27,Furniture,Chair,3883
P0193,Chair 28,Furniture,Chair,1417
P0194,Chair 29,Furniture,Chair,1960
P0195,Chair 30,Furniture,Chair,3240
P0196,Chair 31,Furniture,Chair,254
P0197,Chair 32,Furniture,Chair,1357
P0198,Chair 33,Furniture,Chair,2521
P0199,Table 1,Furniture,Table,2497
P0200,Table 2,Furniture,Table,3664
P0201,Table 3,Furniture,Table,3129
P0202,Table 4,Furniture,Table,2395
P0203,Table 5,Furniture,Table,3563
P0204,Table 6,Furniture,Table,3889
P0205,Table 7,Furniture,Table,3938
P0206,Table 8,Furniture,Table,1257
P0207,Table 9,Furniture,Table,400
P0208,Table 10,Furniture,Table,3033
P0209,Table 11,Furniture,Table,629
P0210,Table 12,Furniture,Table,3717
P0211,Table 13,Furniture,Table,933
P0212,Table 14,Furniture,Table,323
P0213,Table 15,Furniture,Table,3873
P0214,Table 16,Furniture,Table,1767
P0215,Table 17,Furniture,Table,600
P0216,Table 18,Furniture,Table,4196
P0217,Table 19,Furniture,Table,3899
P0218,Table 20,Furniture,Table,1103
P0219,Table 21,Furniture,Table,3062
P0220,Table 22,Furniture,Table,3247
P0221,Table 23,Furniture,Table,2259
P0222,Table 24,Furniture,Table,4037
P0223,Table 25,Furniture,Table,4454
P0224,Table 26,Furniture,Table,1983
P0225,Table 27,Furniture,Table,4041
P0226,Table 28,Furniture,Table,601
P0227,Table 29,Furniture,Table,1873
P0228,Table 30,Furniture,Table,900
P0229,Table 31,Furniture,Table,4086
P0230,Table 32,Furniture,Table,2705
P0231,Table 33,Furniture,Table,2614
P0232,Sofa 1,Furniture,Sofa,1969
P0233,Sofa 2,Furniture,Sofa,4442
P0234,Sofa 3,Furniture,Sofa,230
P0235,Sofa 4,Furniture,Sofa,1621
P0236,Sofa 5,Furniture,Sofa,3723
P0237,Sofa 6,Furniture,Sofa,2528
P0238,Sofa 7,Furniture,Sofa,697
P0239,Sofa 8,Furniture,Sofa,2571
P0240,Sofa 9,Furniture,Sofa,4222
P0241,Sofa 10,Furniture,Sofa,2756
P0242,Sofa 11,Furniture,Sofa,3860
P0243,Sofa 12,Furniture,Sofa,1583
P0244,Sofa 13,Furniture,Sofa,3240
P0245,Sofa 14,Furniture,Sofa,508
P0246,Sofa 15,Furniture,Sofa,1427
P0247,Sofa 16,Furniture,Sofa,4709
P0248,Sofa 17,Furniture,Sofa,1515
P0249,Sofa 18,Furniture,Sofa,2822
P0250,Sofa 19,Furniture,Sofa,2226
P0251,Sofa 20,Furniture,Sofa,3331
P0252,Sofa 21,Furniture,Sofa,4426
P0253,Sofa 22,Furniture,Sofa,3399
P0254,Sofa 23,Furniture,Sofa,1308
P0255,Sofa 24,Furniture,Sofa,3793
P0256,Sofa 25,Furniture,Sofa,1623
P0257,Sofa 26,Furniture,Sofa,4646
P0258,Sofa 27,Furniture,Sofa,4328
P0259,Sofa 28,Furniture,Sofa,2559
P0260,Sofa 29,Furniture,Sofa,474
P0261,Sofa 30,Furniture,Sofa,3775
P0262,Sofa 31,Furniture,Sofa,3512
P0263,Sofa 32,Furniture,Sofa,3611
P0264,Sofa 33,Furniture,Sofa,2153
P0265,Bed 1,Furniture,Bed,1214
P0266,Bed 2,Furniture,Bed,184
P0267,Bed 3,Furniture,Bed,3748
P0268,Bed 4,Furniture,Bed,3190
P0269,Bed 5,Furniture,Bed,1794
P0270,Bed 6,Furniture,Bed,1278
P0271,Bed 7,Furniture,Bed,4017
P0272,Bed 8,Furniture,Bed,653
P0273,Bed 9,Furniture,Bed,1791
P0274,Bed 10,Furniture,Bed,2871
P0275,Bed 11,Furniture,Bed,1805
P0276,Bed 12,Furniture,Bed,4593
P0277,Bed 13,Furniture,Bed,3384
P0278,Bed 14,Furniture,Bed,3998
P0279,Bed 15,Furniture,Bed,3520
P0280,Bed 16,Furniture,Bed,1233
P0281,Bed 17,Furniture,Bed,3033
P0282,Bed 18,Furniture,Bed,1127
P0283,Bed 19,Furniture,Bed,1884
P0284,Bed 20,Furniture,Bed,4433
P0285,Bed 21,Furniture,Bed,3632
P0286,Bed 22,Furniture,Bed,4228
P0287,Bed 23,Furniture,Bed,3992
P0288,Bed 24,Furniture,Bed,526
P0289,Bed 25,Furniture,Bed,3429
P0290,Bed 26,Furniture,Bed,347
P0291,Bed 27,Furniture,Bed,2256
P0292,Bed 28,Furniture,Bed,4335
P0293,Bed 29,Furniture,Bed,4387
P0294,Bed 30,Furniture,Bed,3322
P0295,Bed 31,Furniture,Bed,4944
P0296,Bed 32,Furniture,Bed,2014
P0297,Bed 33,Furniture,Bed,1544
P0298,Cabinet 1,Furniture,Cabinet,571
P0299,Cabinet 2,Furniture,Cabinet,2841
P0300,Cabinet 3,Furniture,Cabinet,3135
P0301,Cabinet 4,Furniture,Cabinet,2027
P0302,Cabinet 5,Furniture,Cabinet,2227
P0303,Cabinet 6,Furniture,Cabinet,149
P0304,Cabinet 7,Furniture,Cabinet,2941
P0305,Cabinet 8,Furniture,Cabinet,308
P0306,Cabinet 9,Furniture,Cabinet,4399
P0307,Cabinet 10,Furniture,Cabinet,1286
P0308,Cabinet 11,Furniture,Cabinet,3985
P0309,Cabinet 12,Furniture,Cabinet,1738
P0310,Cabinet 13,Furniture,Cabinet,4832
P0311,Cabinet 14,Furniture,Cabinet,3525
P0312,Cabinet 15,Furniture,Cabinet,786
P0313,Cabinet 16,Furniture,Cabinet,2781
P0314,Cabinet 17,Furniture,Cabinet,4983
P0315,Cabinet 18,Furniture,Cabinet,3781
P0316,Cabinet 19,Furniture,Cabinet,3614
P0317,Cabinet 20,Furniture,Cabinet,2208
P0318,Cabinet 21,Furniture,Cabinet,172
P0319,Cabinet 22,Furniture,Cabinet,2674
P0320,Cabinet 23,Furniture,Cabinet,1671
P0321,Cabinet 24,Furniture,Cabinet,2735
P0322,Cabinet 25,Furniture,Cabinet,3470
P0323,Cabinet 26,Furniture,Cabinet,3788
P0324,Cabinet 27,Furniture,Cabinet,573
P0325,Cabinet 28,Furniture,Cabinet,3980
P0326,Cabinet 29,Furniture,Cabinet,4197
P0327,Cabinet 30,Furniture,Cabinet,4977
P0328,Cabinet 31,Furniture,Cabinet,3895
P0329,Cabinet 32,Furniture,Cabinet,4194
P0330,Cabinet 33,Furniture,Cabinet,2877
P0331,Notebook 1,Office Supplies,Notebook,2920
P0332,Notebook 2,Office Supplies,Notebook,2186
P0333,Notebook 3,Office Supplies,Notebook,1400
P0334,Notebook 4,Office Supplies,Notebook,3674
P0335,Notebook 5,Office Supplies,Notebook,730
P0336,Notebook 6,Office Supplies,Notebook,4906
P0337,Notebook 7,Office Supplies,Notebook,326
P0338,Notebook 8,Office Supplies,Notebook,2076
P0339,Notebook 9,Office Supplies,Notebook,4416
P0340,Notebook 10,Office Supplies,Notebook,2227
P0341,Notebook 11,Office Supplies,Notebook,1305
P0342,Notebook 12,Office Supplies,Notebook,1582
P0343,Notebook 13,Office Supplies,Notebook,4006
P0344,Notebook 14,Office Supplies,Notebook,1820
P0345,Notebook 15,Office Supplies,Notebook,3396
P0346,Notebook 16,Office Supplies,Notebook,1166
P0347,Notebook 17,Office Supplies,Notebook,3830
P0348,Notebook 18,Office Supplies,Notebook,1789
P0349,Notebook 19,Office Supplies,Notebook,1576
P0350,Notebook 20,Office Supplies,Notebook,588
P0351,Notebook 21,Office Supplies,Notebook,1542
P0352,Notebook 22,Office Supplies,Notebook,1537
P0353,Notebook 23,Office Supplies,Notebook,1306
P0354,Notebook 24,Office Supplies,Notebook,4049
P0355,Notebook 25,Office Supplies,Notebook,946
P0356,Notebook 26,Office Supplies,Notebook,971
P0357,Notebook 27,Office Supplies,Notebook,714
P0358,Notebook 28,Office Supplies,Notebook,3907
P0359,Notebook 29,Office Supplies,Notebook,3139
P0360,Notebook 30,Office Supplies,Notebook,4114
P0361,Notebook 31,Office Supplies,Notebook,3589
P0362,Notebook 32,Office Supplies,Notebook,1088
P0363,Notebook 33,Office Supplies,Notebook,4128
P0364,Pen 1,Office Supplies,Pen,973
P0365,Pen 2,Office Supplies,Pen,3564
P0366,Pen 3,Office Supplies,Pen,1446
P0367,Pen 4,Office Supplies,Pen,568
P0368,Pen 5,Office Supplies,Pen,2512
P0369,Pen 6,Office Supplies,Pen,1391
P0370,Pen 7,Office Supplies,Pen,4549
P0371,Pen 8,Office Supplies,Pen,3147
P0372,Pen 9,Office Supplies,Pen,1034
P0373,Pen 10,Office Supplies,Pen,2467
P0374,Pen 11,Office Supplies,Pen,2297
P0375,Pen 12,Office Supplies,Pen,4625
P0376,Pen 13,Office Supplies,Pen,3410
P0377,Pen 14,Office Supplies,Pen,4827
P0378,Pen 15,Office Supplies,Pen,4633
P0379,Pen 16,Office Supplies,Pen,2006
P0380,Pen 17,Office Supplies,Pen,365
P0381,Pen 18,Office Supplies,Pen,3170
P0382,Pen 19,Office Supplies,Pen,1539
P0383,Pen 20,Office Supplies,Pen,948
P0384,Pen 21,Office Supplies,Pen,3580
P0385,Pen 22,Office Supplies,Pen,4839
P0386,Pen 23,Office Supplies,Pen,164
P0387,Pen 24,Office Supplies,Pen,1798
P0388,Pen 25,Office Supplies,Pen,4888
P0389,Pen 26,Office Supplies,Pen,1567
P0390,Pen 27,Office Supplies,Pen,1633
P0391,Pen 28,Office Supplies,Pen,342
P0392,Pen 29,Office Supplies,Pen,1576
P0393,Pen 30,Office Supplies,Pen,3485
P0394,Pen 31,Office Supplies,Pen,4758
P0395,Pen 32,Office Supplies,Pen,4602
P0396,Pen 33,Office Supplies,Pen,213
P0397,Printer 1,Office Supplies,Printer,883
P0398,Printer 2,Office Supplies,Printer,2280
P0399,Printer 3,Office Supplies,Printer,1610
P0400,Printer 4,Office Supplies,Printer,3356
P0401,Printer 5,Office Supplies,Printer,2300
P0402,Printer 6,Office Supplies,Printer,4158
P0403,Printer 7,Office Supplies,Printer,734
P0404,Printer 8,Office Supplies,Printer,596
P0405,Printer 9,Office Supplies,Printer,3559
P0406,Printer 10,Office Supplies,Printer,4575
P0407,Printer 11,Office Supplies,Printer,307
P0408,Printer 12,Office Supplies,Printer,685
P0409,Printer 13,Office Supplies,Printer,3791
P0410,Printer 14,Office Supplies,Printer,3905
P0411,Printer 15,Office Supplies,Printer,258
P0412,Printer 16,Office Supplies,Printer,1869
P0413,Printer 17,Office Supplies,Printer,758
P0414,Printer 18,Office Supplies,Printer,3377
P0415,Printer 19,Office Supplies,Printer,1689
P0416,Printer 20,Office Supplies,Printer,3750
P0417,Printer 21,Office Supplies,Printer,422
P0418,Printer 22,Office Supplies,Printer,2905
P0419,Printer 23,Office Supplies,Printer,188
P0420,Printer 24,Office Supplies,Printer,369
P0421,Printer 25,Office Supplies,Printer,2485
P0422,Printer 26,Office Supplies,Printer,4878
P0423,Printer 27,Office Supplies,Printer,1724
P0424,Printer 28,Office Supplies,Printer,1809
P0425,Printer 29,Office Supplies,Printer,1613
P0426,Printer 30,Office Supplies,Printer,3485
P0427,Printer 31,Office Supplies,Printer,3858
P0428,Printer 32,Office Supplies,Printer,1603
P0429,Printer 33,Office Supplies,Printer,2179
P0430,Paper 1,Office Supplies,Paper,2390
P0431,Paper 2,Office Supplies,Paper,3186
P0432,Paper 3,Office Supplies,Paper,4831
P0433,Paper 4,Office Supplies,Paper,1933
P0434,Paper 5,Office Supplies,Paper,1026
P0435,Paper 6,Office Supplies,Paper,3709
P0436,Paper 7,Office Supplies,Paper,1409
P0437,Paper 8,Office Supplies,Paper,4713
P0438,Paper 9,Office Supplies,Paper,2382
P0439,Paper 10,Office Supplies,Paper,3733
P0440,Paper 11,Office Supplies,Paper,3649
P0441,Paper 12,Office Supplies,Paper,2079
P0442,Paper 13,Office Supplies,Paper,4648
P0443,Paper 14,Office Supplies,Paper,143
P0444,Paper 15,Office Supplies,Paper,4523
P0445,Paper 16,Office Supplies,Paper,1921
P0446,Paper 17,Office Supplies,Paper,4710
P0447,Paper 18,Office Supplies,Paper,366
P0448,Paper 19,Office Supplies,Paper,3357
P0449,Paper 20,Office Supplies,Paper,2763
P0450,Paper 21,Office Supplies,Paper,2230
P0451,Paper 22,Office Supplies,Paper,598
P0452,Paper 23,Office Supplies,Paper,1380
P0453,Paper 24,Office Supplies,Paper,2965
P0454,Paper 25,Office Supplies,Paper,4605
P0455,Paper 26,Office Supplies,Paper,2762
P0456,Paper 27,Office Supplies,Paper,990
P0457,Paper 28,Office Supplies,Paper,1893
P0458,Paper 29,Office Supplies,Paper,1942
P0459,Paper 30,Office Supplies,Paper,1142
P0460,Paper 31,Office Supplies,Paper,3884
P0461,Paper 32,Office Supplies,Paper,1394
P0462,Paper 33,Office Supplies,Paper,4140
P0463,Marker 1,Office Supplies,Marker,1576
P0464,Marker 2,Office Supplies,Marker,4531
P0465,Marker 3,Office Supplies,Marker,812
P0466,Marker 4,Office Supplies,Marker,1411
P0467,Marker 5,Office Supplies,Marker,4790
P0468,Marker 6,Office Supplies,Marker,1065
P0469,Marker 7,Office Supplies,Marker,3275
P0470,Marker 8,Office Supplies,Marker,1920
P0471,Marker 9,Office Supplies,Marker,2951
P0472,Marker 10,Office Supplies,Marker,491
P0473,Marker 11,Office Supplies,Marker,2545
P0474,Marker 12,Office Supplies,Marker,4713
P0475,Marker 13,Office Supplies,Marker,3616
P0476,Marker 14,Office Supplies,Marker,587
P0477,Marker 15,Office Supplies,Marker,1127
P0478,Marker 16,Office Supplies,Marker,3626
P0479,Marker 17,Office Supplies,Marker,3538
P0480,Marker 18,Office Supplies,Marker,3807
P0481,Marker 19,Office Supplies,Marker,3336
P0482,Marker 20,Office Supplies,Marker,2812
P0483,Marker 21,Office Supplies,Marker,1506
P0484,Marker 22,Office Supplies,Marker,3816
P0485,Marker 23,Office Supplies,Marker,1461
P0486,Marker 24,Office Supplies,Marker,4629
P0487,Marker 25,Office Supplies,Marker,2588
P0488,Marker 26,Office Supplies,Marker,3015
P0489,Marker 27,Office Supplies,Marker,1782
P0490,Marker 28,Office Supplies,Marker,4917
P0491,Marker 29,Office Supplies,Marker,4107
P0492,Marker 30,Office Supplies,Marker,2269
P0493,Marker 31,Office Supplies,Marker,4903
P0494,Marker 32,Office Supplies,Marker,3160
P0495,Marker 33,Office Supplies,Marker,291
